runid                 	all	LMJelinekMercer_SHORT
num_q                 	all	50
num_ret               	all	44983
num_rel               	all	3304
num_rel_ret           	all	1817
map                   	all	0.1932
gm_map                	all	0.0351
Rprec                 	all	0.2051
bpref                 	all	0.2913
recip_rank            	all	0.4637
iprec_at_recall_0.00  	all	0.5011
iprec_at_recall_0.10  	all	0.3670
iprec_at_recall_0.20  	all	0.2989
iprec_at_recall_0.30  	all	0.2553
iprec_at_recall_0.40  	all	0.2182
iprec_at_recall_0.50  	all	0.2018
iprec_at_recall_0.60  	all	0.1541
iprec_at_recall_0.70  	all	0.1251
iprec_at_recall_0.80  	all	0.0896
iprec_at_recall_0.90  	all	0.0533
iprec_at_recall_1.00  	all	0.0106
P_5                   	all	0.2880
P_10                  	all	0.2800
P_15                  	all	0.2533
P_20                  	all	0.2430
P_30                  	all	0.2380
P_100                 	all	0.1602
P_200                 	all	0.1078
P_500                 	all	0.0621
P_1000                	all	0.0363
recall_5              	all	0.0534
recall_10             	all	0.0911
recall_15             	all	0.1118
recall_20             	all	0.1302
recall_30             	all	0.1718
recall_100            	all	0.3320
recall_200            	all	0.4151
recall_500            	all	0.5713
recall_1000           	all	0.6344
infAP                 	all	0.1932
gm_bpref              	all	0.0517
Rprec_mult_0.20       	all	0.3034
Rprec_mult_0.40       	all	0.2762
Rprec_mult_0.60       	all	0.2557
Rprec_mult_0.80       	all	0.2282
Rprec_mult_1.00       	all	0.2051
Rprec_mult_1.20       	all	0.1869
Rprec_mult_1.40       	all	0.1753
Rprec_mult_1.60       	all	0.1638
Rprec_mult_1.80       	all	0.1532
Rprec_mult_2.00       	all	0.1467
utility               	all	-826.9800
11pt_avg              	all	0.2068
binG                  	all	0.1620
G                     	all	0.1620
ndcg                  	all	0.4197
ndcg_rel              	all	0.3722
Rndcg                 	all	0.3277
ndcg_cut_5            	all	0.3063
ndcg_cut_10           	all	0.3011
ndcg_cut_15           	all	0.2906
ndcg_cut_20           	all	0.2888
ndcg_cut_30           	all	0.2996
ndcg_cut_100          	all	0.3121
ndcg_cut_200          	all	0.3352
ndcg_cut_500          	all	0.3938
ndcg_cut_1000         	all	0.4197
map_cut_5             	all	0.0444
map_cut_10            	all	0.0656
map_cut_15            	all	0.0753
map_cut_20            	all	0.0848
map_cut_30            	all	0.1043
map_cut_100           	all	0.1566
map_cut_200           	all	0.1732
map_cut_500           	all	0.1892
map_cut_1000          	all	0.1932
relative_P_5          	all	0.2880
relative_P_10         	all	0.2918
relative_P_15         	all	0.2792
relative_P_20         	all	0.2792
relative_P_30         	all	0.3011
relative_P_100        	all	0.3604
relative_P_200        	all	0.4206
relative_P_500        	all	0.5713
relative_P_1000       	all	0.6344
success_1             	all	0.3800
success_5             	all	0.5000
success_10            	all	0.5600
set_P                 	all	0.0593
set_relative_P        	all	0.6344
set_recall            	all	0.6344
set_map               	all	0.0456
set_F                 	all	0.0937
num_nonrel_judged_ret 	all	3241
